goal,revenue,cost,profit,roi,yieldKg,waterShortageDays,pestDays,droughtDays,frostDays,endingWater,endingFertilizer,endingBudget,plantedCrops
MAXIMIZE_ROI,3065.00,1100.00,1965.00,178.64,500.00,0,8,1,3,155.94,18.18,10000.00,Tomato
MAXIMIZE_ROI,2890.00,1100.00,1790.00,162.73,500.00,0,4,2,2,152.17,18.20,10000.00,Tomato
MAXIMIZE_YIELD,332.30,114.00,218.30,191.49,70.00,0,8,12,8,94.36,14.59,9886.00,"Lettuce, Corn"
MAXIMIZE_ROI,4400.00,1100.00,3300.00,300.00,500.00,0,2,1,2,154.72,18.22,10000.00,Tomato
MAXIMIZE_ROI,2630.00,1100.00,1530.00,139.09,500.00,0,4,2,4,153.17,18.20,10000.00,Tomato
MAXIMIZE_ROI,3070.00,1820.00,1250.00,68.68,900.00,0,10,11,4,81.62,15.10,8180.00,"Tomato, Corn"
MAXIMIZE_ROI,3070.00,1820.00,1250.00,68.68,900.00,0,8,10,5,81.00,15.10,8180.00,"Tomato, Corn"
MAXIMIZE_ROI,3440.00,1100.00,2340.00,212.73,500.00,0,8,4,1,154.67,18.20,10000.00,Tomato
MAXIMIZE_ROI,4175.00,1100.00,3075.00,279.55,500.00,0,4,3,0,155.72,18.22,10000.00,Tomato
MAXIMIZE_YIELD,190.75,62.50,128.25,205.20,25.00,0,3,5,1,144.99,17.38,9937.50,Chili
MAXIMIZE_ROI,3810.00,1100.00,2710.00,246.36,500.00,0,2,4,2,153.67,18.22,10000.00,Tomato
MAXIMIZE_ROI,2865.00,1100.00,1765.00,160.45,500.00,0,6,7,2,152.72,18.20,10000.00,Tomato
CONSERVE_RESOURCES,694.40,212.50,481.90,226.78,105.00,0,13,14,6,76.27,10.93,9787.50,"Chili, Corn, Tomato"
MAXIMIZE_ROI,305.35,86.50,218.85,253.01,45.00,0,4,9,8,51.07,14.99,9913.50,"Chili, Lettuce"
MAXIMIZE_ROI,345.55,86.50,259.05,299.48,45.00,0,11,13,7,77.75,14.95,9913.50,"Chili, Lettuce"
MAXIMIZE_ROI,177.75,62.50,115.25,184.40,25.00,0,8,7,3,144.00,17.35,9937.50,Chili
MAXIMIZE_ROI,597.00,174.00,423.00,243.10,100.00,0,13,4,4,86.31,12.74,9826.00,"Lettuce, Corn, Tomato"
MAXIMIZE_ROI,443.30,114.00,329.30,288.86,70.00,0,7,8,4,93.99,14.52,9886.00,"Lettuce, Corn"
MAXIMIZE_ROI,862.40,236.50,625.90,264.65,125.00,64,18,18,13,0.24,7.52,9763.50,"Tomato, Corn, Chili, Lettuce"
MAXIMIZE_YIELD,741.40,212.50,528.90,248.89,105.00,0,9,12,9,79.09,11.10,9787.50,"Chili, Corn, Tomato"
MAXIMIZE_ROI,3010.00,1100.00,1910.00,173.64,500.00,0,3,5,2,154.06,18.20,10000.00,Tomato
MAXIMIZE_ROI,653.10,174.00,479.10,275.34,100.00,0,18,12,8,84.62,12.74,9826.00,"Corn, Lettuce, Tomato"
MAXIMIZE_ROI,2915.00,1100.00,1815.00,165.00,500.00,0,8,1,2,154.28,18.18,10000.00,Tomato
MAXIMIZE_ROI,3495.00,1100.00,2395.00,217.73,500.00,0,5,4,2,153.28,18.20,10000.00,Tomato
MAXIMIZE_ROI,4000.00,1100.00,2900.00,263.64,500.00,0,2,3,1,153.56,18.22,10000.00,Tomato
MAXIMIZE_ROI,1137.60,212.50,925.10,435.34,105.00,0,14,10,5,63.54,10.84,9787.50,"Chili, Corn, Tomato"
MAXIMIZE_ROI,3050.00,1100.00,1950.00,177.27,500.00,0,5,4,5,155.56,18.20,10000.00,Tomato
MAXIMIZE_ROI,3685.00,1100.00,2585.00,235.00,500.00,0,2,3,0,155.72,18.22,10000.00,Tomato
MAXIMIZE_ROI,3820.00,1100.00,2720.00,247.27,500.00,0,4,6,4,154.67,18.20,10000.00,Tomato
MAXIMIZE_ROI,521.70,150.00,371.70,247.80,80.00,0,10,6,7,1.07,12.53,9850.00,"Tomato, Corn"
MAXIMIZE_ROI,4515.00,1100.00,3415.00,310.45,500.00,0,3,2,2,155.22,18.22,10000.00,Tomato
MAXIMIZE_ROI,238.50,62.50,176.00,281.60,25.00,0,2,2,5,145.52,17.38,9937.50,Chili
MAXIMIZE_ROI,3475.00,1100.00,2375.00,215.91,500.00,0,5,4,3,156.44,18.20,10000.00,Tomato
MAXIMIZE_ROI,594.25,152.50,441.75,289.67,75.00,0,9,8,2,105.45,13.37,9847.50,"Chili, Corn"
MAXIMIZE_ROI,695.30,212.50,482.80,227.20,105.00,201,26,20,10,0.00,6.66,9787.50,"Chili, Corn, Tomato"
MAXIMIZE_ROI,360.85,86.50,274.35,317.17,45.00,0,10,17,6,80.34,15.04,9913.50,"Lettuce, Chili"
MAXIMIZE_ROI,598.60,176.50,422.10,239.15,95.00,0,19,9,13,9.10,10.84,9823.50,"Lettuce, Chili, Corn"
